Kommune;GKZ;ARS;Verwaltungstyp;Bundesland;Demografietyp;"2020
Bevölkerungsanteil - Frauen (%)";"2020
Bevölkerungsanteil - Männer (%)";"2025
Bevölkerungsanteil - Frauen (%)";"2025
Bevölkerungsanteil - Männer (%)";"2030
Bevölkerungsanteil - Frauen (%)";"2030
Bevölkerungsanteil - Männer (%)";"2035
Bevölkerungsanteil - Frauen (%)";"2035
Bevölkerungsanteil - Männer (%)";"2040
Bevölkerungsanteil - Frauen (%)";"2040
Bevölkerungsanteil - Männer (%)"
Ahrweiler, LK;07131000;071310000000;Landkreis;Rheinland-Pfalz;;50,7;49,3;50,6;49,4;50,7;49,3;50,8;49,2;50,9;49,1
Aichach-Friedberg, LK;09771000;097710000000;Landkreis;Bayern;;50,1;49,9;50,0;50,0;50,1;49,9;50,2;49,8;50,3;49,7
Alb-Donau-Kreis, LK;08425000;084250000000;Landkreis;Baden-Württemberg;;49,6;50,5;49,2;50,8;49,3;50,7;49,3;50,7;49,4;50,6
Altenburger Land, LK;16077000;160770000000;Landkreis;Thüringen;;51,1;48,9;50,9;49,1;50,8;49,2;50,7;49,3;50,6;49,4
Altenkirchen (Westerwald), LK;07132000;071320000000;Landkreis;Rheinland-Pfalz;;50,5;49,5;50,2;49,8;50,1;49,9;50,2;49,8;50,2;49,8
Altmarkkreis Salzwedel, LK;15081000;150810000000;Landkreis;Sachsen-Anhalt;;50,2;49,8;50,1;49,9;50,0;50,0;50,1;49,9;50,1;49,9
Alt�tting, LK;09171000;091710000000;Landkreis;Bayern;;50,5;49,5;50,2;49,8;50,2;49,8;50,3;49,7;50,3;49,7
Alzey-Worms, LK;07331000;073310000000;Landkreis;Rheinland-Pfalz;;50,3;49,7;50,2;49,8;50,4;49,6;50,5;49,5;50,7;49,3
Amberg;09361000;093610000000;kreisfreie Stadt;Bayern;Typ 2;50,7;49,4;50,2;49,8;50,2;49,8;50,2;49,8;50,3;49,7
Amberg-Sulzbach, LK;09371000;093710000000;Landkreis;Bayern;;49,9;50,1;49,6;50,4;49,5;50,5;49,6;50,4;49,6;50,5
Ammerland, LK;03451000;034510000000;Landkreis;Niedersachsen;;51,2;48,8;51,4;48,6;51,6;48,4;51,8;48,2;52,0;48,0
Anhalt-Bitterfeld, LK;15082000;150820000000;Landkreis;Sachsen-Anhalt;;51,0;49,0;50,7;49,3;50,6;49,4;50,5;49,5;50,4;49,6
Ansbach;09561000;095610000000;kreisfreie Stadt;Bayern;Typ 6;52,0;48,0;51,8;48,2;52,0;48,0;52,2;47,8;52,4;47,6
Ansbach, LK;09571000;095710000000;Landkreis;Bayern;;49,8;50,2;49,4;50,6;49,3;50,7;49,4;50,6;49,4;50,6
Aschaffenburg;09661000;096610000000;kreisfreie Stadt;Bayern;Typ 6;51,3;48,7;51,0;49,1;51,0;49,0;51,1;48,9;51,1;48,8
Aschaffenburg, LK;09671000;096710000000;Landkreis;Bayern;;50,3;49,7;50,4;49,6;50,5;49,5;50,7;49,3;50,8;49,2
Augsburg;09761000;097610000000;kreisfreie Stadt;Bayern;Typ 7;50,7;49,3;50,4;49,6;50,5;49,5;50,7;49,3;50,9;49,1
Augsburg, LK;09772000;097720000000;Landkreis;Bayern;;50,4;49,6;50,3;49,7;50,4;49,6;50,6;49,4;50,7;49,3
