Kommune;GKZ;ARS;Verwaltungstyp;Bundesland;Demografietyp;"2021
Steuereinnahmen pro Einwohner:in (Euro je Einwohner:in)";"2021
Prim�rsaldo (Euro je Einwohner:in)";"2021
Verschuldung im Kernhaushalt (Euro je Einwohner:in)";"2021
Soziale Leistungen (Euro je Einwohner:in)";"2021
Verf�gbare Deckungsmittel (Euro je Einwohner:in)";"2021
Kaufkraft (Euro/Haushalt)";"2021
Haushalte mit niedrigem Einkommen (%)";"2021
Haushalte mit mittlerem Einkommen (%)";"2021
Haushalte mit hohem Einkommen (%)";"2021
Arbeitslose an den SvB (%)";"2021
Bev�lkerung (Anzahl)";"2021
Bev�lkerungsentwicklung seit 2011 (%)";"2021
Durchschnittsalter (Jahre)";"2021
Medianalter (Jahre)";"2021
Arbeitsplatzentwicklung der vergangenen 5 Jahre (%)";"2021
Besch�ftigungsquote (%)";"2021
Frauenbesch�ftigungsquote (%)";"2021
Strom aus erneuerbaren Quellen (kW je Einwohner:in)";"2021
Bruttoinlandsprodukt (Euro je Einwohner)";"2021
Breitbandversorgung - Private Haushalte (%)"
Ahrweiler, LK;07131000;071310000000;Landkreis;Rheinland-Pfalz;;1.072;4;1.743;667;1.303;52.059;38,7;36,4;24,9;5,6;128.146;1,7;46,6;50,0;12,0;61,8;59,4;0,56;28.851,7;85,6
Aichach-Friedberg, LK;09771000;097710000000;Landkreis;Bayern;;1.340;468;621;173;1.563;61.567;28,1;38,5;33,3;3,4;135.538;7,0;43,9;45,4;10,8;65,1;60,8;2,47;30.910,8;93,3
Alb-Donau-Kreis, LK;08425000;084250000000;Landkreis;Baden-W�rttemberg;;1.423;548;425;469;1.883;62.198;31,8;37,5;30,8;3,5;199.732;7,1;43,3;44,2;10,6;67,0;61,5;2,11;33.976,1;91,8
Altenburger Land, LK;16077000;160770000000;Landkreis;Th�ringen;;702;187;577;663;1.825;44.095;53,6;31,3;15,1;8,1;87.807;-8,4;50,5;54,7;1,4;66,3;64,4;2,94;24.151,5;86,8
Altenkirchen (Westerwald), LK;07132000;071320000000;Landkreis;Rheinland-Pfalz;;1.024;295;2.463;707;1.651;54.623;41,8;35,2;23,0;6,6;129.261;-0,5;45,4;48,1;6,4;61,7;54,7;0,62;28.785,0;95,7
Altmarkkreis Salzwedel, LK;15081000;150810000000;Landkreis;Sachsen-Anhalt;;761;138;620;358;1.427;48.821;51,8;31,2;17,0;7,5;81.986;-6,4;48,0;52,1;-2,0;68,1;66,5;8,80;27.063,3;89,1
Alt�tting, LK;09171000;091710000000;Landkreis;Bayern;;1.704;716;1.189;253;2.053;55.549;36,7;36,1;27,2;4,1;112.116;5,4;44,7;46,4;9,2;66,0;59,1;5,36;60.098,2;96,1
Alzey-Worms, LK;07331000;073310000000;Landkreis;Rheinland-Pfalz;;1.010;219;2.321;686;1.614;63.411;35,7;35,6;28,7;5,6;131.330;5,0;44,6;46,9;14,0;63,3;58,3;4,13;26.418,9;96,3
Amberg;09361000;093610000000;kreisfreie Stadt;Bayern;Typ 2;1.527;369;672;394;1.739;46.129;44,8;32,9;22,4;6,1;41.994;0,5;45,7;47,1;5,3;64,1;61,8;0,65;64.185,9;99,1
Amberg-Sulzbach, LK;09371000;093710000000;Landkreis;Bayern;;1.093;531;1.581;206;1.604;54.091;40,8;35,1;24,0;3,6;103.277;-0,3;45,3;48,0;7,9;66,2;63,0;3,34;31.110,9;94,8
Ammerland, LK;03451000;034510000000;Landkreis;Niedersachsen;;1.167;369;434;870;1.732;58.488;44,3;32,8;22,9;5,0;126.475;7,2;45,5;48,2;13,2;63,0;60,1;1,53;34.114,4;89,0
Anhalt-Bitterfeld, LK;15082000;150820000000;Landkreis;Sachsen-Anhalt;;909;227;847;426;1.585;44.358;52,4;31,1;16,5;8,3;155.900;-8,7;49,4;53,3;2,9;64,5;63,3;6,15;34.412,2;89,9
Ansbach;09561000;095610000000;kreisfreie Stadt;Bayern;Typ 6;1.292;348;409;457;1.754;45.270;40,2;35,7;24,1;5,1;41.662;5,2;44,2;45,0;5,4;65,1;60,2;1,34;63.126,7;98,5
Ansbach, LK;09571000;095710000000;Landkreis;Bayern;;1.225;549;924;142;1.582;54.856;39,7;35,6;24,7;3,2;186.279;4,5;44,1;45,7;7,4;67,3;63,2;4,73;33.862,6;95,0
Aschaffenburg;09661000;096610000000;kreisfreie Stadt;Bayern;Typ 6;1.852;463;650;558;2.053;49.089;41,1;36,1;22,8;7,3;71.381;5,8;44,2;44,5;4,9;62,7;57,1;0,30;78.370,2;99,5
Aschaffenburg, LK;09671000;096710000000;Landkreis;Bayern;;1.315;419;730;181;1.544;61.212;34,1;35,7;30,2;4,3;174.965;1,5;45,5;48,1;10,7;65,3;60,3;0,69;34.693,2;97,4
Augsburg;09761000;097610000000;kreisfreie Stadt;Bayern;Typ 7;1.466;326;1.353;515;1.997;43.789;49,0;34,2;16,8;7,4;296.478;10,1;42,8;41,3;4,2;61,9;57,6;0,29;49.716,7;98,6
Augsburg, LK;09772000;097720000000;Landkreis;Bayern;;1.348;439;888;194;1.632;59.559;29,7;37,1;33,2;3,7;257.790;8,4;44,1;45,5;15,0;64,9;61,2;1,79;33.149,4;95,9
Aurich, LK;03452000;034520000000;Landkreis;Niedersachsen;;990;412;2.263;1.000;1.809;49.904;47,3;33,0;19,7;8,6;190.425;2,0;45,8;49,2;4,2;59,4;53,2;6,37;k.A.;81,3
Bad D�rkheim, LK;07332000;073320000000;Landkreis;Rheinland-Pfalz;;1.059;163;2.749;665;1.619;63.500;33,2;36,1;30,7;5,6;133.206;1,7;47,0;50,7;4,0;63,3;58,6;0,75;23.128,3;95,9
Baden-Baden;08211000;082110000000;kreisfreie Stadt;Baden-W�rttemberg;Typ 10;1.821;176;540;939;2.344;57.192;35,7;37,3;26,9;7,1;55.527;5,9;47,2;49,8;6,7;62,1;58,7;0,48;55.119,6;98,7
Bad Kissingen, LK;09672000;096720000000;Landkreis;Bayern;;1.114;554;803;196;1.583;51.718;41,2;34,7;24,1;4,3;103.454;-0,2;47,0;50,2;5,9;65,8;62,8;3,22;34.956,4;92,3
Bad Kreuznach, LK;07133000;071330000000;Landkreis;Rheinland-Pfalz;;1.000;227;2.083;883;1.666;55.906;39,9;34,6;25,5;7,8;159.402;2,6;45,9;48,8;6,6;61,5;57,3;1,84;31.715,3;95,4
Bad T�lz-Wolfratshausen, LK;09173000;091730000000;Landkreis;Bayern;;1.378;443;605;256;1.563;59.227;31,7;37,1;31,2;3,4;127.919;6,8;44,7;46,4;8,5;64,4;62,9;0,80;32.604,1;95,2
Bamberg;09461000;094610000000;kreisfreie Stadt;Bayern;Typ 7;1.514;425;145;390;1.966;43.095;44,7;36,6;18,7;6,0;77.749;10,0;42,8;40,2;4,2;56,5;53,3;0,35;66.083,7;99,1
Bamberg, LK;09471000;094710000000;Landkreis;Bayern;;1.208;638;631;185;1.666;58.752;38,5;36,2;25,3;3,4;147.697;2,7;44,2;46,3;12,0;67,6;63,4;2,00;27.473,7;94,3
Barnim, LK;12060000;120600000000;Landkreis;Brandenburg;;800;335;194;780;1.763;50.985;46,1;33,6;20,3;6,7;188.835;9,4;46,7;49,7;7,6;64,5;65,5;4,84;23.742,9;92,7
Bautzen, LK;14625000;146250000000;Landkreis;Sachsen;;860;231;410;432;1.523;48.232;50,7;32,5;16,9;6,5;296.290;-5,5;48,5;52,2;4,6;69,0;68,8;1,66;29.760,2;93,5
Bayreuth;09462000;094620000000;kreisfreie Stadt;Bayern;Typ 7;1.802;326;798;401;1.868;42.774;45,0;35,0;19,9;5,9;73.909;3,8;43,8;42,1;4,6;57,0;56,6;0,31;64.881,3;99,2
Bayreuth, LK;09472000;094720000000;Landkreis;Bayern;;1.018;444;1.487;145;1.562;57.009;42,4;34,1;23,5;3,8;103.648;-1,5;46,1;49,2;6,3;66,7;64,4;2,71;24.608,6;96,6
Berchtesgadener Land, LK;09172000;091720000000;Landkreis;Bayern;;1.242;464;780;261;1.594;51.468;43,0;33,6;23,4;5,3;106.389;5,1;45,6;46,8;7,5;55,4;55,1;0,94;36.539,9;89,1
Bergstra�e, LK;06431000;064310000000;Landkreis;Hessen;;1.329;34;1.373;414;1.851;56.536;38,2;35,1;26,7;4,9;271.166;3,8;45,5;48,1;8,7;62,8;58,0;0,74;31.029,1;98,0
Berlin;11000000;110000000000;kreisfreie Stadt;Berlin;Typ 7;1.388;k.A.;k.A.;k.A.;k.A.;43.511;50,1;32,0;17,9;12,4;3.677.472;10,6;42,6;41,1;15,7;57,0;56,2;0,06;44.992,1;98,5
Bernkastel-Wittlich, LK;07231000;072310000000;Landkreis;Rheinland-Pfalz;;1.186;368;2.499;831;1.754;53.079;42,2;34,7;23,1;4,6;113.194;1,7;45,9;48,7;6,8;63,3;60,5;4,13;33.692,0;90,8
Biberach, LK;08426000;084260000000;Landkreis;Baden-W�rttemberg;;1.930;241;224;635;1.769;62.423;33,7;37,5;28,8;3,2;203.244;8,4;42,9;43,6;10,6;67,9;62,6;2,27;57.244,0;93,5
